NI RH RM RS V DG DM DS
788 2 1 6 - 6 48 56
789 2 2 26 + 32 4 20
790 2 1 22 - 5 22 14
791 2 1 44 + 8 29 59
792 2 2 15 + 15 42 44
793 2 2 55 + 31 58 53
794 2 2 29 + 18 22 22
795 1 59 49 - 55 49 28
796 1 56 44 - 74 13 12
797 2 3 28 + 38 7 3
798 2 3 20 + 32 4 39
799 2 2 12 - 0 6 1
800 2 2 12 - 0 7 51
801 2 3 45 + 38 15 34
802 1 59 6 - 67 52 13
803 2 3 45 + 16 1 52
804 2 4 2 + 30 49 57
805 2 4 30 + 28 48 46
806 2 3 31 - 9 55 58
806 2 3 32 - 9 55 46
807 2 4 56 + 28 59 16
808 2 3 57 - 23 18 44
809 2 4 19 - 8 44 6
810 2 5 29 + 13 15 4
810 2 5 29 + 13 15 4
811 2 4 30 - 9 6 21
812 2 6 52 + 44 34 21
813 2 1 36 - 68 26 21
814 2 10 38 - 15 46 24
815 2 10 39 - 15 48 46
816 2 8 9 + 29 15 23
817 2 7 34 + 17 12 7
818 2 8 44 + 38 46 38
819 2 8 35 + 29 14 5
820 2 8 25 + 14 20 59
821 2 8 21 + 10 59 39
822 2 6 39 - 41 9 25
823 2 7 20 - 25 26 30
824 2 6 53 - 36 27 12
825 2 8 32 + 6 19 24
826 2 9 25 + 30 44 22
826 2 9 25 + 30 44 37
827 2 8 56 + 7 58 18
828 2 10 10 + 39 11 28
829 2 8 42 - 7 47 25
830 2 8 59 - 7 46 3
831 2 9 35 + 6 5 48
832 2 11 1 + 35 32 30
833 2 9 21 - 10 7 58
