NI RH RM RS V DG DM DS
644 10 51 31 + 55 23 28
645 10 50 9 - 6 2 35
646 10 51 35 + 55 27 59
647 10 50 34 - 12 51 14
648 10 51 0 + 12 17 16
648 10 51 1 + 12 17 24
649 10 50 52 + 1 9 55
649 10 50 52 + 1 9 43
650 10 50 41 - 13 26 30
651 10 50 58 - 2 9 1
652 10 50 58 - 12 26 52
653 10 52 7 - 0 33 40
654 10 53 50 - 11 43 32
655 10 54 22 - 0 21 56
656 10 55 9 + 17 36 42
657 10 57 54 - 4 54 15
658 10 58 16 + 8 14 32
659 10 58 4 - 6 15 36
660 10 58 27 + 1 23 0
661 10 58 51 + 1 39 4
662 10 59 21 + 1 35 58
663 11 0 37 + 10 26 14
664 11 0 45 + 10 33 11
665 11 0 30 - 13 51 58
666 11 1 15 + 10 28 51
667 11 6 37 + 15 5 21
668 11 6 39 + 15 2 28
669 11 7 17 + 6 18 11
670 11 7 29 + 6 42 52
671 11 7 32 + 0 47 0
672 11 8 3 - 12 29 3
673 11 9 25 - 0 5 52
674 11 11 6 + 43 37 59
675 11 10 57 + 3 35 41
676 11 12 40 + 9 3 22
677 11 13 57 + 12 18 6
678 11 14 6 + 6 34 40
679 11 16 37 - 13 58 17
680 11 17 55 - 1 56 48
681 11 18 32 - 12 8 25
682 11 22 15 + 20 12 31
683 11 21 32 + 2 45 8
684 11 21 33 + 2 48 37
685 11 22 7 + 17 45 15
686 11 23 5 + 5 38 39
687 11 24 17 + 47 50 53
688 11 23 40 - 9 47 45
689 11 23 38 - 13 49 51
690 11 24 21 - 8 20 29
691 11 26 44 + 59 9 20
692 11 25 54 + 9 59 15
693 11 26 49 - 5 0 16
694 11 28 27 + 58 34 43
695 11 27 58 - 11 42 55
696 11 28 40 + 9 5 57
697 11 28 34 - 1 37 44
698 11 29 4 + 9 6 45
699 11 29 7 + 8 59 21
700 11 29 15 + 20 34 58
701 11 31 1 + 20 28 11
702 11 30 55 - 4 55 20
703 11 31 54 - 11 36 0
704 11 32 0 - 11 33 0
705 11 32 56 + 50 14 32
706 11 33 13 - 13 20 17
707 11 33 45 + 21 22 48
708 11 33 59 + 49 3 44
709 11 34 15 + 49 2 37
710 11 34 27 + 25 52 34
711 11 34 47 + 48 57 22
712 11 34 49 + 49 4 40
713 11 34 44 + 16 50 46
714 11 36 30 - 9 50 50
715 11 36 54 - 8 22 32
715 11 36 55 - 8 22 44
716 11 39 3 - 0 12 20
717 11 38 51 - 10 35 3
718 11 39 53 + 8 52 28
719 11 40 19 + 9 0 35
720 11 42 22 + 8 46 2
721 11 42 29 - 8 20 25
722 11 42 44 + 8 58 28
723 11 42 58 - 8 19 55
724 11 43 35 + 8 56 33
725 11 43 29 - 1 40 6
726 11 43 46 + 33 23 34
727 11 44 29 + 10 47 0
728 11 44 51 - 1 36 5
729 11 45 18 + 33 20 9
730 11 45 35 + 3 13 56
731 11 45 18 + 49 34 13
732 11 45 60 + 20 26 20
732 11 45 59 + 20 26 52
733 11 45 59 - 8 9 21
734 11 46 4 - 8 16 15
734 11 46 4 - 8 15 55
735 11 48 13 + 13 12 32
736 11 48 20 + 12 43 2
737 11 48 28 + 12 43 38
738 11 48 55 - 4 40 55
739 11 51 31 + 23 51 46
740 11 50 38 + 55 21 14
741 11 50 32 - 4 50 11
742 11 51 2 + 20 47 59
743 11 53 22 - 13 15 53
744 11 54 5 + 23 11 34
745 11 54 12 + 0 8 13
746 11 55 35 + 25 53 20
747 11 57 5 - 8 17 30
748 11 57 27 + 7 27 41
749 11 58 34 + 42 44 0
750 11 58 52 + 42 43 22
751 11 58 52 + 42 34 12
752 11 59 15 + 42 34 1
